"anly_mapped_zipcode","accession_to_result","accession_to_result","accession_to_result","accession_to_result","accession_to_result_than_1","accession_to_result_than_1"
"06004",1,1,1,1,2,2
"06006",1,1,1,1,1,1
"06010",1.3587907716785999,1,0,2,2673,3771
"06011",0.8181818181818182,0,0,2,8,11
"06013",1.3315068493150686,1,0,2,268,365
"06015",0.6666666666666666,1,0,1,3,3
"06016",1.2017804154302671,1,1,1,263,337
"06018",0.9747899159663865,1,0,1,103,119
"06019",1.346820809248555,1,0,2,251,346
"06020",0,0,0,0,3,3
"06021",1.1363636363636365,1,0,1,36,44
"06022",0.6,0,0,0,4,5
"06023",1.0491803278688525,1,0,1,48,61
"06024",0.7037037037037037,1,0,1,23,27
"06025",1.2,1,1,1,4,5
"06026",1.130952380952381,1,0,1,134,168
"06027",1.3125,1,1,1,38,48
"06028",0.72,1,0,1,23,25
"06029",1.5780969479353681,1,1,2,380,557
"06030",1.2,1,1,1,4,5
"06031",1.037037037037037,1,0,1,46,54
"06032",1.2398373983739837,1,0,2,730,984
"06033",1.315403422982885,1,0,2,1192,1636
"06034",0.75,0,0,1,7,8
"06035",1.3498452012383901,1,1,1,248,323
"06036",1,1,1,1,1,1
"06037",1.1503267973856208,1,0,1,721,918
"06039",1.035294117647059,1,0,1,71,85
"06040",1.2316872427983538,1,0,1,1871,2430
"06042",1.327363184079602,1,0,1,766,1005
"06043",1.476923076923077,1,0,2,135,195
"06045",0.8181818181818182,1,0,1,21,22
"06049",1,1,1,1,1,1
"06050",1.0833333333333333,1,0,1,43,48
"06051",1.1507064364207222,1,0,1,1446,1911
"06052",1.1545893719806763,1,0,2,454,621
"06053",1.1801596351197263,1,0,1,1353,1754
"06056",0,0,0,0,2,2
"06057",1.3972602739726028,1,0,2,157,219
"06058",0.9180327868852459,1,0,1,52,61
"06059",0.875,1,0,1,6,8
"06060",1.02020202020202,1,0,1,84,99
"06061",1.7272727272727273,1,1,2,6,11
"06062",1.3043893129770991,1,0,2,780,1048
"06063",1.2121212121212122,1,0,1,77,99
"06064",1,0,0,2,1,2
"06065",1.1923076923076923,1,0,1,20,26
"06066",1.3044636908727516,1,1,1,1140,1501
"06067",1.225130890052356,1,0,2,984,1337
"06068",0.9047619047619048,1,0,1,53,63
"06069",0.9195979899497487,1,0,1,166,199
"06070",1.3634969325153374,1,0,2,473,652
"06071",1.2217659137577002,1,1,1,403,487
"06072",1.3333333333333333,1,1,2,9,15
"06073",1.2679738562091503,1,0,2,223,306
"06074",1.3600377002827522,1,0,2,772,1061
"06075",0.4,0,0,1,5,5
"06076",1.4705882352941178,1,1,2,269,391
"06077",0.4,0,0,1,5,5
"06078",1.5244635193133047,1,1,2,1363,2330
"06079",2.1666666666666665,1,0,5,3,6
"06080",0,0,0,0,1,1
"06081",1.4444444444444444,1,0,2,40,54
"06082",1.3903903903903905,1,1,2,1772,2664
"06083",0.7774968394437421,1,1,1,777,791
"06084",1.2767295597484276,1,0,1,496,636
"06085",1.254416961130742,1,0,2,211,283
"06087",0,0,0,0,1,1
"06088",1.1867954911433172,1,1,2,461,621
"06089",1.6142857142857143,1,0,2,91,140
"06090",1,1,1,1,38,43
"06091",0.9166666666666666,1,0,1,11,12
"06092",1.323699421965318,1,0,2,124,173
"06093",1.28125,1,0,2,91,128
"06094",1.2857142857142858,1,1,1,11,14
"06095",1.1747815230961298,1,0,1,1223,1602
"06096",1.220890410958904,1,1,1,446,584
"06098",0.9444444444444444,1,0,1,318,378
"06100",1,1,1,1,1,1
"06101",1.0714285714285714,1,1,2,10,14
"06102",1,1,0,1,27,33
"06103",1.3157894736842106,1,0,1,101,133
"06104",1.0833333333333333,1,0,1,18,24
"06105",1.0857988165680474,1,0,1,811,1014
"06106",1.1372781065088757,1,1,1,2025,2535
"06107",1.28490990990991,1,0,1,676,888
"06108",1.1257817929117442,1,0,1,1176,1439
"06109",1.139463601532567,1,0,1,1028,1305
"06110",1.0260416666666667,1,0,1,460,576
"06111",1.0946601941747574,1,0,1,1644,2060
"06112",1.2301392301392302,1,0,1,922,1221
"06114",1.0492772667542707,1,0,1,1228,1522
"06115",1.6153846153846154,1,1,2,8,13
"06117",1.1501597444089458,1,1,1,779,939
"06118",1.2008469449485784,1,0,1,1277,1653
"06119",1.18622848200313,1,0,1,494,639
"06120",1.3430311231393774,1,1,2,916,1478
"06123",1.625,1,1,3,5,8
"06126",1.4,1,0,2,3,5
"06127",0.5,0,0,1,2,2
"06128",0,0,0,0,2,2
"06129",0,0,0,0,1,1
"06131",1.5555555555555556,1,1,1,16,18
"06132",0,0,0,0,3,3
"06133",0.7,1,0,1,9,10
"06138",0.6666666666666666,1,0,1,9,9
"06140",0,0,0,0,1,1
"06141",2,2,2,2,0,1
"06142",1,1,1,1,1,1
"06143",2,1,1,1,4,5
"06144",1.4,0,0,3,3,5
"06147",1,1,1,1,1,1
"06152",5,5,5,5,0,1
"06156",3.2,3,2,3,1,5
"06160",2,1,1,3,1,2
"06180",1,0,0,2,1,2
"06226",0.9089790897908979,1,0,1,726,813
"06229",0,0,0,0,1,1
"06230",1.6666666666666667,1,1,3,2,3
"06231",1.1976047904191616,1,0,1,127,167
"06232",0.8384615384615385,1,0,1,118,130
"06233",1,1,0,1,3,4
"06234",1.1317073170731706,1,1,1,333,410
"06235",1.0714285714285714,1,0,1,55,70
"06237",1.2753623188405796,1,0,1,164,207
"06238",1.1663585951940851,1,0,1,422,541
"06239",1.0879345603271984,1,1,1,400,489
"06240",0,0,0,0,1,1
"06241",1.1094674556213018,1,1,1,282,338
"06242",0.9111111111111111,1,0,1,39,45
"06243",0.7272727272727273,1,0,1,10,11
"06244",1,1,0,2,3,5
"06245",0.6666666666666666,1,0,1,3,3
"06246",0.75,1,0,1,7,8
"06247",1,1,0,1,57,65
"06248",1.306930693069307,1,0,1,155,202
