"anly_mapped_zipcode","collection_to_report","collection_to_report","collection_to_report","collection_to_report","collection_to_report_less_than_1","collection_to_report_less_than_1"
"06010",0.1,0,0,0,10,10
"06013",0.5,0,0,1,2,2
"06016",4.5,0,0,9,1,2
"06027",0,0,0,0,2,2
"06029",0,0,0,0,1,1
"06031",0,0,0,0,1,1
"06032",0.1,0,0,0,10,10
"06033",0,0,0,0,2,2
"06035",4,4,4,4,0,2
"06037",0,0,0,0,1,1
"06040",0.07692307692307693,0,0,0,13,13
"06042",0,0,0,0,2,2
"06051",0,0,0,0,2,2
"06053",0,0,0,0,3,3
"06066",0.4,0,0,1,5,5
"06067",0,0,0,0,2,2
"06070",0,0,0,0,1,1
"06073",0,0,0,0,1,1
"06074",0.125,0,0,0,8,8
"06076",0,0,0,0,4,4
"06079",0,0,0,0,1,1
"06081",0,0,0,0,1,1
"06082",0,0,0,0,5,5
"06084",0,0,0,0,3,3
"06085",0,0,0,0,3,3
"06092",0,0,0,0,4,4
"06095",0.75,0,0,1,3,4
"06096",0,0,0,0,1,1
"06098",1,1,1,1,1,1
"06105",1.25,1,0,1,3,4
"06106",0,0,0,0,4,4
"06107",0,0,0,0,3,3
"06108",0,0,0,0,1,1
"06109",0.5,0,0,1,2,2
"06111",0,0,0,0,1,1
"06112",0,0,0,0,1,1
"06117",0.4,0,0,1,5,5
"06118",0,0,0,0,1,1
"06120",0,0,0,0,9,9
"06232",0,0,0,0,1,1
"06234",0,0,0,0,3,3
"06240",1,1,1,1,1,1
"06248",0,0,0,0,6,6
"06266",0,0,0,0,1,1
"06268",0.6666666666666666,0,0,2,2,3
"06277",0,0,0,0,1,1
"06279",1,1,1,1,2,2
"06282",0,0,0,0,1,1
"06320",4,4,4,4,0,1
"06333",0,0,0,0,1,1
"06340",3,0,0,9,2,3
"06354",0,0,0,0,1,1
"06355",0,0,0,0,2,2
"06357",0,0,0,0,1,1
"06359",0,0,0,0,1,1
"06360",0,0,0,0,2,2
"06370",0,0,0,0,1,1
"06371",0,0,0,0,3,3
"06379",1.25,0,0,0,3,4
"06382",0.5,0,0,1,2,2
"06385",0,0,0,0,4,4
"06403",0.5294117647058824,0,0,1,14,17
"06405",0.3333333333333333,0,0,1,3,3
"06410",0,0,0,0,2,2
"06413",0,0,0,0,4,4
"06417",0,0,0,0,1,1
"06418",1,1,1,1,1,1
"06420",0,0,0,0,1,1
"06424",0,0,0,0,1,1
"06426",1,1,1,1,1,1
"06437",0,0,0,0,2,2
"06442",0,0,0,0,1,1
"06443",0.3333333333333333,0,0,1,3,3
"06450",0,0,0,0,2,2
"06451",0,0,0,0,1,1
